10017327750580308258947#AC30#AC31#AC30;AC31;05511434;1;4723875;20240223071011178;R;17;18;;;;305162;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.07;149;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHC50S;UVC
10017327750580308258947#AC30#AC31#AC30;AC31;05511434;1;4723875;20240223071011190;L;17;18;;;;305162;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.07;149;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHC50S;UVC
10017327750580308258947#AC30#AC31#AC30;AC31;05511434;1;4723875;20240223071011178;R;18;;;;;305162;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.00;156;157;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10017327750580308258947#AC30#AC31#AC30;AC31;05511434;1;4723875;20240223071011190;L;18;;;;;305162;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.00;156;157;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10017327750580308258947#AC30#AC31#AC30;AC31;05511286;1;4723792;20240223071016680;R;17;18;;;;304326;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.07;149;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;THD5F;FC
10017327750580308258947#AC30#AC31#AC30;AC31;05511286;1;4723792;20240223071016692;L;17;18;;;;304326;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.07;149;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;THD5F;FC
10017327750580308258947#AC30#AC31#AC30;AC31;05511286;1;4723792;20240223071016680;R;18;;;;;304326;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.00;156;157;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10017327750580308258947#AC30#AC31#AC30;AC31;05511286;1;4723792;20240223071016692;L;18;;;;;304326;20240223072009734;axifbatch;20240223072009734;axifbatch;;5;FTSC;;;;0.00;156;157;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10017327750580308258947#AC30#AC31#AC30;AC31;05510402;1;4723202;20240223071016899;R;18;;;;;298364;20240223072009734;axifbatch;20240223072009734;axifbatch;;1;HOYA;;;;0.00;156;157;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10017327750580308258947#AC30#AC31#AC30;AC31;05510402;1;4723202;20240223071016911;L;18;;;;;298364;20240223072009734;axifbatch;20240223072009734;axifbatch;;1;HOYA;;;;0.00;156;157;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
